,Buy Rates,Buy Rates,Buy Rates,Buy Rates,Buy Rates,Buy Rates,Locality Name,Project Name
,Avg price per sqft,Price range per sqft,Price rise,Properties,Trend,View properties,"{""city"":""Hyderabad"",""typeAheadType"":""locality"",""templatePath"":""doT!modules/typeAhead/views/locality"",""rows"":5,""includeGoogplePlace"":true,""includeSuggestion"":true,""placeholder"":""search locality in hyderabad""}","{""city"":""Hyderabad"",""typeAheadType"":""project"",""templatePath"":""doT!modules/typeAhead/views/project"",""rows"":5,""includeGoogplePlace"":true,""includeSuggestion"":true,""placeholder"":""search project in hyderabad""}"
43,"7,776.9 / sqft","467 - 8,571 / sqft",-5.9%,,See trend,View 36 properties,Alwal,
44,"24,154.59 / sqft","24,155 / sqft",-,,See trend,View 1 properties,Krishna Reddy Pet,
45,992.91 / sqft,993 / sqft,110.4%,,See trend,View 1 properties,Shaikpet,
46,"6,216.27 / sqft","898 - 7,222 / sqft",-,,See trend,View 8 properties,Ramachandra Puram,
47,"1,424.74 / sqft","207 - 1,444 / sqft",46%,,See trend,View 203 properties,Mucherla,
48,"11,72.57 / sqft","320 - 15,152 / sqft",133.2%,,See trend,View 7 properties,Begumpet,
49,"11,590.64 / sqft","1,333 - 15,556 / sqft",286.5%,,See trend,View 19 properties,Rampally,
50,"6,158.38 / sqft","1,333 - 7,386 / sqft",62.4%,,See trend,View 22 properties,Dammaiguda,
51,"9,725.49 / sqft","144 - 10,000 / sqft",-,,See trend,View 187 properties,Mansanpally,
52,"23,5.63 / sqft","274 - 26,946 / sqft",22.2%,,See trend,View 177 properties,Bhanur,
53,"19,499.09 / sqft","278 - 20,000 / sqft",75.7%,,See trend,View 183 properties,Srisailam Highway,
54,"49,818.18 / sqft","898 - 70,000 / sqft",3.3%,,See trend,View 10 properties,Tarnaka,
55,"15,485.1 / sqft","185 - 16,042 / sqft",-,,See trend,View 178 properties,Thimmapur,
56,"4,841.3 / sqft","312 - 4,900 / sqft",-,,See trend,View 125 properties,Sadasivpet,
57,"16,488.1 / sqft","769 - 17,500 / sqft",367.8%,,See trend,View 70 properties,Shamirpet,
58,"3,320.72 / sqft","167 - 5,200 / sqft",163.7%,,See trend,View 148 properties,Ibrahimpatnam,
59,"55,343.92 / sqft","333 - 60,000 / sqft",-94.1%,,See trend,View 14 properties,Habsiguda,
0,-,-,-,,See trend,View properties,Kothur,
1,-,-,-,,See trend,View properties,Kondapur,
2,"6,990.5 / sqft","3,953 - 6,992 / sqft",-,,See trend,View 38 properties,Tellapur,
3,-,-,-,,See trend,View properties,Shadnagar,
4,"7,656.93 / sqft","5,900 - 9,540 / sqft",-,,See trend,View 16 properties,Gachibowli,
5,-,-,-,,See trend,View properties,Maheshwaram,
6,"8,466.67 / sqft","8,467 / sqft",-,,See trend,View 1 properties,Kukatpally,
7,-,-,-,,See trend,View properties,Tukkuguda,
8,"4,860.97 / sqft","3,012 - 5,399 / sqft",-,,See trend,View 4 properties,Patancheru,
9,"4,109.53 / sqft","3,543 - 4,667 / sqft",-,,See trend,View 3 properties,Miyapur,
10,"7,111.11 / sqft","2,486 - 13,889 / sqft",-,,See trend,View 5 properties,Beeramguda,
11,-,-,-,,See trend,View properties,Adibatla,
12,-,-,-,,See trend,View properties,Hitech City,
13,"4,932.28 / sqft","4,308 - 6,500 / sqft",-,,See trend,View 4 properties,Manikonda,
14,"3,842.63 / sqft","3,843 / sqft",-,,See trend,View 1 properties,Bachupally,
15,"5,241.38 / sqft","5,241 / sqft",-,,See trend,View 1 properties,Nizampet,
16,"5,517.24 / sqft","5,517 / sqft",-,,See trend,View 1 properties,Madhapur,
17,-,-,-,,See trend,View properties,Chandanagar,
18,-,-,-,,See trend,View properties,Bhuvanagiri,
19,-,-,-,,See trend,View properties,Kokapet,
20,-,-,-,,See trend,View properties,Kompally,
21,"3,003 / sqft","3,003 / sqft",-,,See trend,View 1 properties,Kollur,
22,-,-,-,,See trend,View properties,Indresham,
23,"6,990.52 / sqft","3,333 - 13,000 / sqft",-,,See trend,View 16 properties,Toli Chowki,
24,-,-,-,,See trend,View properties,Nanakramguda,
25,-,-,-,,See trend,View properties,Kadthal,
26,"4,74.07 / sqft","4,074 / sqft",-,,See trend,View 1 properties,Shamshabad,
27,"4,913.11 / sqft","2,778 - 6,333 / sqft",-,,See trend,View 11 properties,Nagole,
28,-,-,-,,See trend,View properties,Pragathi Nagar Kukatpally,
29,"6,350 / sqft","5,800 - 8,000 / sqft",-,,See trend,View 4 properties,Narsingi,
30,-,-,-,,See trend,View properties,BHEL,
31,-,-,-,,See trend,View properties,Ghatkesar,
32,-,-,-,,See trend,View properties,Yadagirigutta,
33,-,-,-,,See trend,View properties,Isnapur,
34,"9,114.39 / sqft","7,273 - 10,956 / sqft",-,,See trend,View 2 properties,Banjara Hills,
35,"1,629.63 / sqft","1,630 / sqft",-,,See trend,View 1 properties,Bandlaguda Jagir,
36,-,-,-,,See trend,View properties,KPHB,
37,-,-,-,,See trend,View properties,Mallampet,
38,-,-,-,,See trend,View properties,Bhongir,
39,-,-,-,,See trend,View properties,Rudraram,
40,"5,283.89 / sqft","3,636 - 6,108 / sqft",-,,See trend,View 3 properties,Puppalaguda,
41,-,-,-,,See trend,View properties,Warangal Highway Aler,
42,-,-,-,,See trend,View properties,Shankarpalli,
43,-,-,-,,See trend,View properties,Alwal,
44,-,-,-,,See trend,View properties,Krishna Reddy Pet,
45,"7,83.33 / sqft","7,083 / sqft",-,,See trend,View 1 properties,Shaikpet,
46,-,-,-,,See trend,View properties,Ramachandra Puram,
47,-,-,-,,See trend,View properties,Mucherla,
48,"7,500 / sqft","7,500 / sqft",-,,See trend,View 2 properties,Begumpet,
49,"5,394.95 / sqft","4,222 - 6,486 / sqft",-,,See trend,View 4 properties,Rampally,
50,"5,415.16 / sqft","2,500 - 7,547 / sqft",-,,See trend,View 5 properties,Dammaiguda,
51,-,-,-,,See trend,View properties,Mansanpally,
52,-,-,-,,See trend,View properties,Bhanur,
53,-,-,-,,See trend,View properties,Srisailam Highway,
54,"5,892.86 / sqft","5,893 / sqft",-,,See trend,View 1 properties,Tarnaka,
55,-,-,-,,See trend,View properties,Thimmapur,
56,-,-,-,,See trend,View properties,Sadasivpet,
57,-,-,-,,See trend,View properties,Shamirpet,
58,-,-,-,,See trend,View properties,Ibrahimpatnam,
59,-,-,-,,See trend,View properties,Habsiguda,
0,5994,"3,373 - 85,000 / sqft",-,View 1615 properties,See trend,,,Aliens Group Space Station
1,6613,"5,778 - 65,789 / sqft",-,View 689 properties,See trend,,,Incor Infrastructure One City
2,1838,"984 - 5,182 / sqft",-,View 420 properties,See trend,,,Asrithas Group Hyderabad 14th Avenue
3,5934,"2,179 - 55,000 / sqft",-,View 391 properties,See trend,,,Aliens Group Space Station 1
4,911,"722 - 7,000 / sqft",-,View 354 properties,See trend,,,Vasudaika Projects LLP Cosmo Celesse
